,Hybrid,Hybrid_Parent1,Hybrid_Parent2,hybrid_occurrences,p1_children,p2_children
58,B2/DK3IIH6,B2,DK3IIH6,34,1,153
59,B37/C103,B37,C103,90,5,4
60,B37/H95,B37,H95,769,5,4
61,B37/MO17,B37,MO17,570,5,8
62,B37/OH43,B37,OH43,569,5,4
63,B37/OH43,OH43,B37,13,5,1
64,B37/PHZ51,B37,PHZ51,9,5,670
65,B68/LH82,B68,LH82,11,2,205
66,B68/PHZ51,B68,PHZ51,11,2,670
67,B73/DK3IIH6,B73,DK3IIH6,141,15,153
68,B73/LH162,B73,LH162,14,15,28
69,B73/MO17,B73,MO17,833,15,8
70,B73/OH7B,B73,OH7B,4,15,1
71,B73/PHG35,B73,PHG35,98,15,4
72,B73/PHK76,B73,PHK76,102,15,384
73,B73/PHM49,B73,PHM49,560,15,8
74,B73/PHN82,B73,PHN82,876,15,14
75,B73/PHP02,B73,PHP02,6,15,382
76,B73/PHZ51,B73,PHZ51,341,15,670
77,B73/TX205,B73,TX205,112,15,4
78,B73/TX6252,B73,TX6252,46,15,1
79,B73/TX775,B73,TX775,6,15,2
80,B73/TX775,TX775,B73,24,4,3
81,B73/TX777,B73,TX777,52,15,7
82,B73/TX777,TX777,B73,25,3,3
83,B73/TX779,B73,TX779,520,15,7
84,B73/TX779,TX779,B73,25,3,3
85,B73_NC230-032-1-1-1-1/LH195,B73_NC230-032-1-1-1-1,LH195,8,1,809
86,B73_NC230-040-1-1-1-1/LH185,B73_NC230-040-1-1-1-1,LH185,10,2,229
87,B73_NC230-040-1-1-1-1/LH198,B73_NC230-040-1-1-1-1,LH198,15,2,213
88,B73_NC230-041-1-1-1-1/LH185,B73_NC230-041-1-1-1-1,LH185,17,4,229
89,B73_NC230-041-1-1-1-1/LH195,B73_NC230-041-1-1-1-1,LH195,12,4,809
90,B73_NC230-041-1-1-1-1/LH198,B73_NC230-041-1-1-1-1,LH198,13,4,213
91,B73_NC230-041-1-1-1-1/PB80,B73_NC230-041-1-1-1-1,PB80,12,4,165
92,B73_NC230-059-1-1-1-1/LH185,B73_NC230-059-1-1-1-1,LH185,29,2,229
93,B73_NC230-059-1-1-1-1/LH198,B73_NC230-059-1-1-1-1,LH198,14,2,213
94,B73_NC230-126-1-1-1-1/LH195,B73_NC230-126-1-1-1-1,LH195,12,1,809
95,B73_NC230-127-1-1-1-1/LH195,B73_NC230-127-1-1-1-1,LH195,4,2,809
96,B73_NC230-127-1-1-1-1/PB80,B73_NC230-127-1-1-1-1,PB80,12,2,165
97,B73_NC230-128-1-1-1-1/LH195,B73_NC230-128-1-1-1-1,LH195,12,2,809
98,B73_NC230-128-1-1-1-1/PB80,B73_NC230-128-1-1-1-1,PB80,12,2,165
99,B73_NC230-129-1-1-1-1/LH185,B73_NC230-129-1-1-1-1,LH185,34,3,229
100,B73_NC230-129-1-1-1-1/LH195,B73_NC230-129-1-1-1-1,LH195,12,3,809
101,B73_NC230-129-1-1-1-1/LH198,B73_NC230-129-1-1-1-1,LH198,16,3,213
102,B73_PHG39-1/LH82,B73_PHG39-1,LH82,9,2,205
103,B73_PHG39-1/PHZ51,B73_PHG39-1,PHZ51,9,2,670
104,B73_PHG39-10/LH82,B73_PHG39-10,LH82,9,2,205
105,B73_PHG39-10/PHZ51,B73_PHG39-10,PHZ51,9,2,670
106,B73_PHG39-11/LH82,B73_PHG39-11,LH82,8,2,205
107,B73_PHG39-11/PHZ51,B73_PHG39-11,PHZ51,9,2,670
108,B73_PHG39-12/LH82,B73_PHG39-12,LH82,8,2,205
109,B73_PHG39-12/PHZ51,B73_PHG39-12,PHZ51,6,2,670
110,B73_PHG39-13/LH82,B73_PHG39-13,LH82,9,2,205
111,B73_PHG39-13/PHZ51,B73_PHG39-13,PHZ51,9,2,670
112,B73_PHG39-14/PHZ51,B73_PHG39-14,PHZ51,14,1,670
113,B73_PHG39-15/LH82,B73_PHG39-15,LH82,8,2,205
114,B73_PHG39-15/PHZ51,B73_PHG39-15,PHZ51,9,2,670
115,B73_PHG39-16/LH82,B73_PHG39-16,LH82,6,2,205
116,B73_PHG39-16/PHZ51,B73_PHG39-16,PHZ51,8,2,670
117,B73_PHG39-17/LH82,B73_PHG39-17,LH82,7,2,205
118,B73_PHG39-17/PHZ51,B73_PHG39-17,PHZ51,7,2,670
119,B73_PHG39-18/LH82,B73_PHG39-18,LH82,8,2,205
120,B73_PHG39-18/PHZ51,B73_PHG39-18,PHZ51,9,2,670
121,B73_PHG39-19/LH82,B73_PHG39-19,LH82,6,2,205
122,B73_PHG39-19/PHZ51,B73_PHG39-19,PHZ51,8,2,670
123,B73_PHG39-2/LH82,B73_PHG39-2,LH82,8,2,205
124,B73_PHG39-2/PHZ51,B73_PHG39-2,PHZ51,9,2,670
125,B73_PHG39-20/LH82,B73_PHG39-20,LH82,9,2,205
126,B73_PHG39-20/PHZ51,B73_PHG39-20,PHZ51,9,2,670
127,B73_PHG39-21/LH82,B73_PHG39-21,LH82,8,2,205
128,B73_PHG39-21/PHZ51,B73_PHG39-21,PHZ51,10,2,670
129,B73_PHG39-22/LH82,B73_PHG39-22,LH82,8,2,205
130,B73_PHG39-22/PHZ51,B73_PHG39-22,PHZ51,9,2,670
131,B73_PHG39-23/LH82,B73_PHG39-23,LH82,8,2,205
132,B73_PHG39-23/PHZ51,B73_PHG39-23,PHZ51,10,2,670
133,B73_PHG39-24/LH82,B73_PHG39-24,LH82,8,2,205
134,B73_PHG39-24/PHZ51,B73_PHG39-24,PHZ51,9,2,670
135,B73_PHG39-25/LH82,B73_PHG39-25,LH82,8,2,205
136,B73_PHG39-25/PHZ51,B73_PHG39-25,PHZ51,10,2,670
137,B73_PHG39-3/LH82,B73_PHG39-3,LH82,6,2,205
138,B73_PHG39-3/PHZ51,B73_PHG39-3,PHZ51,8,2,670
139,B73_PHG39-4/LH82,B73_PHG39-4,LH82,9,2,205
140,B73_PHG39-4/PHZ51,B73_PHG39-4,PHZ51,8,2,670
141,B73_PHG39-5/PHZ51,B73_PHG39-5,PHZ51,10,1,670
142,B73_PHG39-6/LH82,B73_PHG39-6,LH82,10,2,205
143,B73_PHG39-6/PHZ51,B73_PHG39-6,PHZ51,8,2,670
144,B73_PHG39-7/LH82,B73_PHG39-7,LH82,9,2,205
145,B73_PHG39-7/PHZ51,B73_PHG39-7,PHZ51,9,2,670
146,B73_PHG39-8/LH82,B73_PHG39-8,LH82,7,2,205
147,B73_PHG39-8/PHZ51,B73_PHG39-8,PHZ51,6,2,670
148,B76/LH82,B76,LH82,10,2,205
149,B76/PHZ51,B76,PHZ51,10,2,670
150,B79/LH82,B79,LH82,9,2,205
151,B79/PHZ51,B79,PHZ51,9,2,670
152,B84/DK3IIH6,B84,DK3IIH6,66,1,153
153,B97/LH195,B97,LH195,16,4,809
154,B97/LH244,B97,LH244,88,4,512
155,B97/LH82,B97,LH82,23,4,205
156,B97/PHB47,B97,PHB47,164,4,277
157,BGEM-0001-N/LH195,BGEM-0001-N,LH195,29,1,809
158,BGEM-0003-N/LH195,BGEM-0003-N,LH195,5,1,809
159,BGEM-0005-N/LH195,BGEM-0005-N,LH195,48,1,809
160,BGEM-0039-N/LH195,BGEM-0039-N,LH195,66,2,809
161,BGEM-0039-N/LH244,BGEM-0039-N,LH244,96,2,512
162,BGEM-0040-N/LH195,BGEM-0040-N,LH195,30,1,809
163,BGEM-0046-N/LH195,BGEM-0046-N,LH195,20,1,809
164,BGEM-0063-N/LH195,BGEM-0063-N,LH195,48,2,809
165,BGEM-0063-N/LH244,BGEM-0063-N,LH244,87,2,512
166,BGEM-0066-N/LH195,BGEM-0066-N,LH195,24,1,809
167,BGEM-0088-N/LH195,BGEM-0088-N,LH195,8,1,809
168,BGEM-0089-N/LH195,BGEM-0089-N,LH195,48,2,809
169,BGEM-0089-N/LH244,BGEM-0089-N,LH244,82,2,512
170,BGEM-0102-N/LH195,BGEM-0102-N,LH195,22,1,809
171,BGEM-0107-N/LH195,BGEM-0107-N,LH195,28,1,809
172,BGEM-0110-N/LH195,BGEM-0110-N,LH195,7,1,809
173,BGEM-0120-N/LH195,BGEM-0120-N,LH195,8,1,809
174,BGEM-0121-N/LH195,BGEM-0121-N,LH195,22,1,809
175,BGEM-0122-N/LH195,BGEM-0122-N,LH195,5,1,809
176,BGEM-0124-N/LH195,BGEM-0124-N,LH195,84,2,809
177,BGEM-0124-N/LH244,BGEM-0124-N,LH244,81,2,512
178,BGEM-0125-N/LH195,BGEM-0125-N,LH195,26,1,809
179,BGEM-0126-N/LH195,BGEM-0126-N,LH195,7,1,809
180,BGEM-0129-N/LH195,BGEM-0129-N,LH195,25,2,809
181,BGEM-0129-N/LH244,BGEM-0129-N,LH244,92,2,512
182,BGEM-0130-N/LH195,BGEM-0130-N,LH195,23,1,809
183,BGEM-0140-N/LH195,BGEM-0140-N,LH195,22,1,809
184,BGEM-0141-N/LH195,BGEM-0141-N,LH195,8,1,809
185,BGEM-0143-N/LH195,BGEM-0143-N,LH195,28,1,809
186,BGEM-0144-N/LH195,BGEM-0144-N,LH195,6,1,809
187,BGEM-0145-N/LH195,BGEM-0145-N,LH195,7,1,809
188,BGEM-0151-N/LH195,BGEM-0151-N,LH195,48,1,809
189,BGEM-0152-N/LH195,BGEM-0152-N,LH195,6,1,809
190,BGEM-0157-N/LH195,BGEM-0157-N,LH195,21,1,809
191,BGEM-0174-N/LH195,BGEM-0174-N,LH195,7,1,809
192,BGEM-0182-N/LH195,BGEM-0182-N,LH195,49,1,809
193,BGEM-0184-N/LH195,BGEM-0184-N,LH195,28,1,809
194,BGEM-0192-N/LH195,BGEM-0192-N,LH195,5,1,809
195,BGEM-0193-N/LH195,BGEM-0193-N,LH195,21,1,809
196,BGEM-0202-N/LH195,BGEM-0202-N,LH195,49,1,809
197,BGEM-0203-N/LH195,BGEM-0203-N,LH195,49,1,809
198,BGEM-0204-N/LH195,BGEM-0204-N,LH195,24,1,809
199,BGEM-0205-N/LH195,BGEM-0205-N,LH195,23,1,809
200,BGEM-0206-N/LH195,BGEM-0206-N,LH195,46,1,809
201,BGEM-0207-N/LH195,BGEM-0207-N,LH195,48,1,809
202,BGEM-0209-N/LH195,BGEM-0209-N,LH195,22,1,809
203,BGEM-0210-N/LH195,BGEM-0210-N,LH195,24,1,809
204,BGEM-0211-N/LH195,BGEM-0211-N,LH195,47,1,809
205,BGEM-0215-N/LH195,BGEM-0215-N,LH195,26,1,809
206,BGEM-0227-N/LH195,BGEM-0227-N,LH195,49,1,809
207,BGEM-0228-N/LH195,BGEM-0228-N,LH195,26,1,809
208,BGEM-0235-N/LH195,BGEM-0235-N,LH195,48,1,809
209,BGEM-0239-N/LH195,BGEM-0239-N,LH195,48,1,809
210,BGEM-0240-N/LH195,BGEM-0240-N,LH195,22,1,809
211,BGEM-0242-N/LH195,BGEM-0242-N,LH195,7,1,809
212,BGEM-0246-N/LH195,BGEM-0246-N,LH195,48,1,809
213,BGEM-0248-N/LH195,BGEM-0248-N,LH195,21,1,809
214,BGEM-0253-N/LH195,BGEM-0253-N,LH195,48,1,809
215,BGEM-0256-N/LH195,BGEM-0256-N,LH195,48,1,809
216,BGEM-0259-N/LH195,BGEM-0259-N,LH195,48,1,809
217,BGEM-0260-N/LH195,BGEM-0260-N,LH195,5,1,809
218,BSSSC0_001/DK3IIH6,BSSSC0_001,DK3IIH6,66,1,153
219,BSSSC0_002/DK3IIH6,BSSSC0_002,DK3IIH6,66,3,153
220,BSSSC0_002/LH82,BSSSC0_002,LH82,14,3,205
221,BSSSC0_002/PHZ51,BSSSC0_002,PHZ51,14,3,670
222,BSSSC0_003/DK3IIH6,BSSSC0_003,DK3IIH6,66,1,153
223,BSSSC0_005/DK3IIH6,BSSSC0_005,DK3IIH6,62,1,153
224,BSSSC0_008/DK3IIH6,BSSSC0_008,DK3IIH6,66,3,153
225,BSSSC0_008/LH82,BSSSC0_008,LH82,23,3,205
226,BSSSC0_008/PHZ51,BSSSC0_008,PHZ51,23,3,670
227,BSSSC0_009/DK3IIH6,BSSSC0_009,DK3IIH6,62,1,153
228,BSSSC0_010/PHZ51,BSSSC0_010,PHZ51,5,1,670
229,BSSSC0_012/DK3IIH6,BSSSC0_012,DK3IIH6,66,2,153
230,BSSSC0_012/PHZ51,BSSSC0_012,PHZ51,7,2,670
231,BSSSC0_015/DK3IIH6,BSSSC0_015,DK3IIH6,68,1,153
232,BSSSC0_017/DK3IIH6,BSSSC0_017,DK3IIH6,68,1,153
233,BSSSC0_019/LH82,BSSSC0_019,LH82,18,2,205
234,BSSSC0_019/PHZ51,BSSSC0_019,PHZ51,21,2,670
235,BSSSC0_020/DK3IIH6,BSSSC0_020,DK3IIH6,66,2,153
236,BSSSC0_020/PHZ51,BSSSC0_020,PHZ51,7,2,670
237,BSSSC0_021/LH82,BSSSC0_021,LH82,6,1,205
238,BSSSC0_023/LH82,BSSSC0_023,LH82,11,2,205
239,BSSSC0_023/PHZ51,BSSSC0_023,PHZ51,11,2,670
240,BSSSC0_024/DK3IIH6,BSSSC0_024,DK3IIH6,67,1,153
241,BSSSC0_026/DK3IIH6,BSSSC0_026,DK3IIH6,66,1,153
242,BSSSC0_028/LH82,BSSSC0_028,LH82,16,2,205
243,BSSSC0_028/PHZ51,BSSSC0_028,PHZ51,16,2,670
244,BSSSC0_029/DK3IIH6,BSSSC0_029,DK3IIH6,66,2,153
245,BSSSC0_029/PHZ51,BSSSC0_029,PHZ51,26,2,670
246,BSSSC0_031/LH82,BSSSC0_031,LH82,7,2,205
247,BSSSC0_031/PHZ51,BSSSC0_031,PHZ51,5,2,670
248,BSSSC0_032/LH82,BSSSC0_032,LH82,17,2,205
249,BSSSC0_032/PHZ51,BSSSC0_032,PHZ51,17,2,670
250,BSSSC0_033/DK3IIH6,BSSSC0_033,DK3IIH6,34,1,153
251,BSSSC0_038/DK3IIH6,BSSSC0_038,DK3IIH6,66,3,153
252,BSSSC0_038/LH82,BSSSC0_038,LH82,17,3,205
253,BSSSC0_038/PHZ51,BSSSC0_038,PHZ51,17,3,670
254,BSSSC0_044/LH82,BSSSC0_044,LH82,27,2,205
255,BSSSC0_044/PHZ51,BSSSC0_044,PHZ51,25,2,670
256,BSSSC0_047/LH82,BSSSC0_047,LH82,15,2,205
257,BSSSC0_047/PHZ51,BSSSC0_047,PHZ51,15,2,670
258,BSSSC0_048/DK3IIH6,BSSSC0_048,DK3IIH6,50,3,153
259,BSSSC0_048/LH82,BSSSC0_048,LH82,25,3,205
260,BSSSC0_048/PHZ51,BSSSC0_048,PHZ51,27,3,670
261,BSSSC0_052/LH82,BSSSC0_052,LH82,10,2,205
262,BSSSC0_052/PHZ51,BSSSC0_052,PHZ51,12,2,670
263,BSSSC0_054/DK3IIH6,BSSSC0_054,DK3IIH6,66,1,153
264,BSSSC0_057/DK3IIH6,BSSSC0_057,DK3IIH6,50,1,153
265,BSSSC0_060/DK3IIH6,BSSSC0_060,DK3IIH6,66,1,153
266,CG102/CG60,CG102,CG60,27,4,3
267,CG102/CG60,CG60,CG102,23,9,153
268,CG102/DK3IIH6,CG102,DK3IIH6,66,4,153
269,CG102/LH82,CG102,LH82,42,4,205
270,CG102/LH82,LH82,CG102,32,14,153
271,CG102/PHZ51,CG102,PHZ51,13,4,670
272,CG104/CG102,CG104,CG102,23,5,153
273,CG104/LH198,CG104,LH198,13,5,213
274,CG104/LH82,CG104,LH82,14,5,205
275,CG104/PHB47,CG104,PHB47,7,5,277
276,CG104/PHZ51,CG104,PHZ51,6,5,670
277,CG105/CG102,CG105,CG102,22,3,153
278,CG105/PHB47,CG105,PHB47,5,3,277
279,CG105/PHZ51,CG105,PHZ51,11,3,670
280,CG106/DK3IIH6,CG106,DK3IIH6,56,3,153
281,CG106/PHB47,CG106,PHB47,15,3,277
282,CG106/PHZ51,CG106,PHZ51,15,3,670
283,CG108/CG102,CG108,CG102,66,12,153
284,CG108/CG110,CG108,CG110,18,12,3
285,CG108/CG111,CG108,CG111,21,12,2
286,CG108/CGR01,CG108,CGR01,31,12,6
287,CG108/CGR03,CG108,CGR03,40,12,3
288,CG108/CGR03,CGR03,CG108,118,7,3
289,CG108/LH162,CG108,LH162,22,12,28
290,CG108/LH195,CG108,LH195,7,12,809
291,CG108/LH198,CG108,LH198,7,12,213
292,CG108/LH82,CG108,LH82,25,12,205
293,CG108/PHB47,CG108,PHB47,8,12,277
294,CG108/PHZ51,CG108,PHZ51,8,12,670
295,CG110/LH82,CG110,LH82,26,2,205
296,CG110/PHB47,CG110,PHB47,14,2,277
297,CG111/PHB47,CG111,PHB47,11,1,277
298,CG118/CG44,CG118,CG44,34,6,4
299,CG118/CGR01,CG118,CGR01,89,6,6
300,CG118/CGR03,CG118,CGR03,35,6,3
301,CG118/LH198,CG118,LH198,9,6,213
302,CG118/LH82,CG118,LH82,13,6,205
303,CG118/PHZ51,CG118,PHZ51,12,6,670
304,CG119/CG102,CG119,CG102,27,6,153
305,CG119/CG108,CG108,CG119,48,12,1
306,CG119/CG108,CG119,CG108,613,6,3
307,CG119/CG44,CG119,CG44,22,6,4
308,CG119/LH198,CG119,LH198,5,6,213
309,CG119/LH82,CG119,LH82,29,6,205
310,CG119/PHZ51,CG119,PHZ51,7,6,670
311,CG120/CG102,CG120,CG102,10,12,153
312,CG120/CG123,CG120,CG123,24,12,6
313,CG120/CG123,CG123,CG120,2,8,7
314,CG120/DK3IIH6,CG120,DK3IIH6,46,12,153
315,CG120/LH162,CG120,LH162,46,12,28
316,CG120/LH185,CG120,LH185,68,12,229
317,CG120/LH198,CG120,LH198,4,12,213
318,CG120/LH82,CG120,LH82,17,12,205
319,CG120/LH82,LH82,CG120,2,14,7
320,CG120/PHK05,CG120,PHK05,42,12,5
321,CG120/PHK56,CG120,PHK56,2,12,9
322,CG120/PHR25,CG120,PHR25,46,12,6
323,CG120/PHW03,CG120,PHW03,46,12,3
324,CG120/PHZ51,CG120,PHZ51,54,12,670
325,CG121/CG102,CG121,CG102,9,4,153
326,CG121/LH198,CG121,LH198,12,4,213
327,CG121/LH82,CG121,LH82,18,4,205
328,CG121/PHZ51,CG121,PHZ51,10,4,670
329,CG122/CG102,CG122,CG102,23,3,153
330,CG122/PHB47,CG122,PHB47,10,3,277
331,CG122/PHZ51,CG122,PHZ51,6,3,670
332,CG123/CG102,CG123,CG102,19,8,153
333,CG123/LH145,CG123,LH145,22,8,14
334,CG123/LH145,LH145,CG123,24,8,6
335,CG123/LH185,CG123,LH185,2,8,229
336,CG123/PHB47,CG123,PHB47,11,8,277
337,CG123/PHB47,PHB47,CG123,26,26,6
338,CG123/PHHV4,CG123,PHHV4,4,8,9
339,CG123/PHHV4,PHHV4,CG123,24,10,6
340,CG123/PHRE1,CG123,PHRE1,22,8,14
341,CG123/PHRE1,PHRE1,CG123,24,7,6
342,CG123/S8324,CG123,S8324,44,8,11
343,CG123/S8324,S8324,CG123,26,8,6
344,CG124/CG120,CG124,CG120,46,6,7
345,CG124/LH145,CG124,LH145,46,6,14
346,CG124/PHB47,CG124,PHB47,11,6,277
347,CG124/PHHV4,CG124,PHHV4,46,6,9
348,CG124/PHRE1,CG124,PHRE1,46,6,14
349,CG124/S8324,CG124,S8324,46,6,11
350,CG125/PHB47,CG125,PHB47,9,2,277
351,CG125/PHZ51,CG125,PHZ51,9,2,670
352,CG126/PHB47,CG126,PHB47,8,1,277
353,CG127/PHB47,CG127,PHB47,18,2,277
354,CG127/PHZ51,CG127,PHZ51,18,2,670
355,CG44/CG102,CG44,CG102,10,5,153
356,CG44/CG110,CG44,CG110,29,5,3
357,CG44/CGR01,CG44,CGR01,682,5,6
358,CG44/CGR01,CGR01,CG44,14,6,4
359,CG44/CGR03,CG44,CGR03,9,5,3
360,CG44/CGR03,CGR03,CG44,19,7,4
361,CG44/LH162,CG44,LH162,23,5,28
362,CG60/CG110,CG60,CG110,28,9,3
363,CG60/CG111,CG60,CG111,27,9,2
364,CG60/LH162,CG60,LH162,201,9,28
365,CG60/LH162,LH162,CG60,41,6,3
366,CG60/LH185,CG60,LH185,44,9,229
367,CG60/LH198,CG60,LH198,4,9,213
368,CG60/LH82,CG60,LH82,48,9,205
369,CG60/LH82,LH82,CG60,44,14,3
370,CG60/PHB47,CG60,PHB47,12,9,277
371,CG60/PHZ51,CG60,PHZ51,3,9,670
372,CG65/CG102,CG65,CG102,19,6,153
373,CG65/CG108,CG65,CG108,27,6,3
374,CG65/LH185,CG65,LH185,33,6,229
375,CG65/LH198,CG65,LH198,1,6,213
376,CG65/LH82,CG65,LH82,31,6,205
377,CG65/PHZ51,CG65,PHZ51,3,6,670
378,CGR01/LH185,CGR01,LH185,16,6,229
379,CGR01/LH195,CGR01,LH195,3,6,809
380,CGR01/LH195,LH195,CGR01,44,35,6
381,CGR01/LH198,CGR01,LH198,6,6,213
382,CGR01/LH198,LH198,CGR01,132,18,6
383,CGR01/LH82,CGR01,LH82,80,6,205
384,CGR01/LH82,LH82,CGR01,39,14,6
385,CGR01/PHB47,CGR01,PHB47,5,6,277
386,CGR03/CG102,CGR03,CG102,8,7,153
387,CGR03/LH185,CGR03,LH185,10,7,229
388,CGR03/LH198,CGR03,LH198,15,7,213
389,CGR03/LH82,CGR03,LH82,40,7,205
390,CGR03/PHB47,CGR03,PHB47,11,7,277
391,CGR04/LH195,CGR04,LH195,18,1,809
392,CGX333/CG102,CGX333,CG102,12,4,153
393,CGX333/LH198,CGX333,LH198,5,4,213
394,CGX333/LH82,CGX333,LH82,15,4,205
395,CGX333/PHZ51,CGX333,PHZ51,11,4,670
396,CH753-4/LH82,CH753-4,LH82,10,2,205
397,CH753-4/PHZ51,CH753-4,PHZ51,10,2,670
398,CI540/DK3IIH6,CI540,DK3IIH6,69,1,153
399,CM105/LH82,CM105,LH82,8,2,205
400,CM105/PHZ51,CM105,PHZ51,8,2,670
401,CML103/LH195,CML103,LH195,17,3,809
402,CML103/LH82,CML103,LH82,11,3,205
403,CML103/PHB47,CML103,PHB47,2,3,277
404,CML228/PHB47,CML228,PHB47,11,2,277
405,CML228/PHZ51,CML228,PHZ51,11,2,670
406,CML247/LH195,CML247,LH195,11,2,809
407,CML247/LH82,CML247,LH82,11,2,205
408,CML269/LH195,CML269,LH195,14,1,809
409,CML322/PHB47,CML322,PHB47,11,2,277
410,CML322/PHZ51,CML322,PHZ51,11,2,670
411,CML333/LH82,CML333,LH82,10,2,205
412,CML333/PHB47,CML333,PHB47,10,2,277
413,CML69/LH195,CML69,LH195,12,2,809
414,CML69/LH82,CML69,LH82,12,2,205
415,CO258/DK3IIH6,CO258,DK3IIH6,66,1,153
416,DE811/LH82,DE811,LH82,8,2,205
417,DE811/PHZ51,DE811,PHZ51,8,2,670
418,DK3IIH6/LH244,DK3IIH6,LH244,132,3,512
419,DK3IIH6/PHRE1,DK3IIH6,PHRE1,2,3,14
420,DK3IIH6/S8324,DK3IIH6,S8324,2,3,11
421,DK3IIH6/S8324,S8324,DK3IIH6,44,8,153
422,DK4676A/LH82,DK4676A,LH82,12,2,205
423,DK4676A/PHZ51,DK4676A,PHZ51,12,2,670
424,DK78010/DK3IIH6,DK78010,DK3IIH6,77,2,153
425,DK78010/LH244,DK78010,LH244,90,2,512
426,DK78371A/PHB47,DK78371A,PHB47,9,1,277
427,DKFBHJ/DK3IIH6,DKFBHJ,DK3IIH6,66,3,153
428,DKFBHJ/LH82,DKFBHJ,LH82,11,3,205
429,DKFBHJ/PHZ51,DKFBHJ,PHZ51,17,3,670
430,DKPB80/PHZ51,DKPB80,PHZ51,2,1,670
431,F42/C103,F42,C103,10,4,4
432,F42/H95,F42,H95,528,4,4
433,F42/MO17,F42,MO17,608,4,8
434,F42/OH43,F42,OH43,598,4,4
435,FBLA/DK3IIH6,FBLA,DK3IIH6,66,1,153
436,FE/DK3IIH6,FE,DK3IIH6,33,1,153
437,FR19/DK3IIH6,FR19,DK3IIH6,66,1,153
438,GEMN-0096/LH244,GEMN-0096,LH244,91,1,512
439,GEMN-0096_LH212HT_0001/LH244,GEMN-0096_LH212HT_0001,LH244,91,1,512
440,GEMN-0096_LH212HT_0002/LH244,GEMN-0096_LH212HT_0002,LH244,31,1,512
441,GEMN-0096_LH212HT_0003/LH244,GEMN-0096_LH212HT_0003,LH244,24,1,512
442,GEMN-0096_LH212HT_0004/LH244,GEMN-0096_LH212HT_0004,LH244,66,1,512
443,GEMN-0096_LH212HT_0005/LH244,GEMN-0096_LH212HT_0005,LH244,80,1,512
444,GEMN-0096_LH212HT_0006/LH244,GEMN-0096_LH212HT_0006,LH244,86,1,512
